District,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
5.0,4421,1,6196399.0,39.4,23,11,6.50831662327,3,0.0,1.0,0.0,1.0,8,13,1.0
5.0,4422,2,6200000.0,42.0,24,6,17.4094377351,nan,nan,0.0,0.0,1.0,4,12,0.0
5.0,4423,1,6200000.0,33.0,19,8,17.7685660469,10,0.0,0.0,0.0,1.0,2,12,0.0
5.0,4424,2,49000000.0,81.0,40,13,5.06339070841,14,1.0,1.0,1.0,0.0,12,17,0.0
5.0,4425,2,10150000.0,60.0,35,10.5,15.6344391274,20,1.0,0.0,1.0,1.0,5,17,0.0
5.0,4426,1,9247500.0,41.1,20,12,9.06300117043,10,1.0,1.0,0.0,1.0,8,19,1.0
5.0,4427,1,6200000.0,38.0,19,9,16.8498697945,9,1.0,0.0,1.0,1.0,7,17,0.0
5.0,4428,1,6232680.0,39.8,16.4,10.0,20.1548826029,15,0.0,1.0,0.0,1.0,33,45,1.0
5.0,4429,1,6249752.0,47.9,nan,nan,20.1165917704,8,0.0,1.0,0.0,1.0,9,24,1.0
5.0,4430,2,6250000.0,45.0,39,6,13.6350036051,5,1.0,0.0,1.0,1.0,5,5,0.0
5.0,4431,1,6250000.0,38.0,19,8,16.4166719307,20,0.0,0.0,1.0,1.0,17,17,0.0
5.0,4432,1,6260800.0,36.4,19.4,4.1,20.1548826029,nan,nan,0.0,0.0,1.0,33,45,1.0
5.0,4433,2,6270000.0,43.4,28.8,6,17.1498274877,14,1.0,0.0,1.0,1.0,7,9,0.0
5.0,4434,1,6276420.0,39.4,16.5,14,15.8802971545,10,1.0,1.0,0.0,1.0,10,22,1.0
5.0,4435,1,6277505.0,43.7,nan,nan,19.767584156,20,0.0,1.0,0.0,0.0,22,45,1.0
5.0,4436,1,6281550.0,42.3,12.5,11.2,7.837212388,15,0.0,1.0,0.0,1.0,13,15,1.0
5.0,4437,2,6290000.0,45.0,29,6.5,17.1498274877,10,1.0,0.0,0.0,1.0,7,9,0.0
5.0,4438,1,6296512.0,40.3,23,8,6.50831662327,3,0.0,1.0,0.0,1.0,11,13,1.0
5.0,4439,2,6300000.0,44.0,28,6,18.8063874105,10,0.0,0.0,0.0,0.0,7,9,0.0
5.0,4440,2,6300000.0,45.0,30,6,14.9046882678,15,0.0,0.0,1.0,1.0,11,14,0.0
5.0,4441,1,6300000.0,35.0,20,9,14.2568265355,5,1.0,0.0,1.0,1.0,4,15,0.0
5.0,4442,1,6300000.0,36.0,19.2,8.3,15.4469306703,10,1.0,0.0,0.0,1.0,14,16,0.0
5.0,4443,2,6300000.0,45.5,36,6,13.7458611708,2,1.0,0.0,1.0,1.0,2,5,0.0
5.0,4444,2,6300000.0,44.8,28,6,17.6091361952,2,1.0,0.0,0.0,0.0,1,9,0.0
5.0,4445,1,6300000.0,35.0,21.7,7.8,17.0066262025,10,1.0,0.0,1.0,1.0,11,12,0.0
5.0,4446,1,6307213.0,44.3,nan,nan,19.767584156,20,0.0,1.0,0.0,0.0,19,45,1.0
5.0,4447,1,6321209.0,40.2,23,11,6.50831662327,3,0.0,1.0,0.0,1.0,8,13,1.0
5.0,4448,1,6337175.0,48.1,nan,nan,20.1165917704,20,0.0,1.0,0.0,0.0,12,24,1.0
5.0,4449,1,6337175.0,48.1,20.6,13.5,20.1548826029,15,0.0,1.0,0.0,1.0,12,24,1.0
5.0,4450,1,6337175.0,48.1,nan,nan,20.1165917704,8,0.0,1.0,0.0,1.0,12,24,1.0
5.0,4451,1,6337990.0,39.3,23,11,6.50831662327,3,0.0,1.0,0.0,1.0,11,13,1.0
5.0,4452,2,5000000.0,61.8,32.4,nan,16.8680990462,3,0.0,0.0,0.0,1.0,2,20,1.0
5.0,4453,1,9169650.0,42.6,15.9,11.3,8.69560592964,10,1.0,1.0,1.0,1.0,16,19,0.0
5.0,4454,1,15306298.0,52.8,23,9,5.11935705645,14,1.0,1.0,0.0,1.0,2,16,1.0
5.0,4455,1,6345165.0,50.1,16.3,10.0,19.767584156,20,0.0,1.0,0.0,1.0,2,17,1.0
5.0,4456,2,6350000.0,38.0,25.4,7,10.5539478087,7,1.0,1.0,1.0,1.0,5,9,0.0
5.0,4457,1,6350000.0,36.0,20,10,9.74857802733,5,1.0,0.0,1.0,1.0,3,12,0.0
5.0,4458,1,6350000.0,36.0,19,9,14.2568265355,10,1.0,1.0,0.0,1.0,1,15,0.0
5.0,4459,1,6351795.0,43.7,17.9,10.7,20.1673827187,20,0.0,1.0,0.0,1.0,22,24,1.0
5.0,4460,1,6372450.0,44.1,18.6,9.8,20.0627398896,20,0.0,1.0,0.0,1.0,20,24,1.0
5.0,4461,1,6373300.0,46.0,17.4,10.1,19.767584156,20,0.0,1.0,0.0,1.0,10,24,1.0
5.0,4462,1,6380007.0,42.2,23,11,6.50831662327,3,0.0,1.0,0.0,1.0,7,13,1.0
5.0,4463,1,6385200.0,48.0,nan,nan,20.1165917704,20,0.0,1.0,0.0,0.0,15,24,1.0
5.0,4464,1,6385583.0,47.1,20.7,13.7,19.767584156,20,0.0,1.0,0.0,1.0,3,22,1.0
